id;percentual_desconto;valor_final;data_criacao;forma_pagamento;estado
1;43616;36958;2022-04-09T01:57:34;PIX;CANCELADO
2;96585;42765;2022-04-08T13:22:15;PIX;PAGO
3;84490;25700;2022-04-08T06:59:41;CARTAO_DEBITO;PAGO
4;84564;18932;2022-04-08T20:28:08;PIX;CRIADO
5;5412;28443;2022-04-08T23:40:39;CARTAO_CREDITO;CANCELADO
6;818;68504;2022-04-08T11:35:07;PIX;CRIADO
7;32409;39079;2022-04-08T23:16:35;BOLETO;CRIADO
8;57167;25330;2022-04-08T08:57:34;BOLETO;CANCELADO
9;55547;69937;2022-04-09T02:28:52;CARTAO_CREDITO;PAGO
10;88884;31319;2022-04-08T11:59:43;PIX;EXPIRADO
