id;titulo;duracao_ch;descricao;valor;criacao
1;Goiás Alameda Rodovia;85631;Pizza invoice marinho;30269;2022-04-05T18:58:36
2;Upgradable Ilhas Grosso;78420;Liechtenstein hack generate;71505;2022-04-05T09:43:35
3;Multi-layered Pequeno;52059;Administrator leading;4445;2022-04-06T00:42:06
4;Borracha 6th;42153;neutral;57287;2022-04-05T05:05:58
5;Impressionante Toalhas auxiliary;21312;Queijo Solomon Industrial;67786;2022-04-05T14:20:43
6;matrices generation;94865;incentivize;62306;2022-04-05T14:05:44
7;Genérico Travessa Avon;28044;Avenida Inteligente;7618;2022-04-05T08:06:23
8;multi-byte;55095;Rodovia magnetic Algéria;48741;2022-04-05T14:02:10
9;Azerbaijanian Denar Eletrônicos;17833;Assistant;27927;2022-04-05T07:14:21
10;back-end systematic Legacy;60291;product access;6011;2022-04-05T22:48:10
